Asignatura;ID objetivo;Semana;Descripción objetivo (aparece en la pantalla 2 supervisión)
Neurociencia;9.1;12;Introducción
Neurociencia;9.2;12;Desarrollo de la atención
Neurociencia;9.3;12;Programas para trabajar sentido espacial
Neurociencia;Act3;12;Un recurso digital para cada necesidad
Neurociencia;9.4;13;Programas para alumnos con dislexia
Neurociencia;9.5;13;Programas para alumnos con discalculia
Neurociencia;9.6;13;Programas para alumnos con dificultades de aprendizaje
Neurociencia;10.1;14;¿Qué es la inteligencia artificial?
Neurociencia;10.2;14;Pensamiento computacional
Neurociencia;10.3;14;Visión espacial
